0101;0;050;050;AA   Riehl                    ;Amsterdamer Str. 80-86        ;in Fahrtrichtung stadtauswärts     ;   ;
0102;6;010;010;AB   Brück                    ;Astrid-Lindgen-Allee Nr.3-35  ;in Fahrtrichtung Chr.Thomas-Weg    ;   ;
0103;0;030;030;AD   Weidenpesch              ;Etzelstr. Lat.Nr.106-150      ;in Fahrtrichtung A.D.Ginsterberg   ;   ;
0104;0;050;050;AC   Marienburg               ;Heinrich-Lüpke-Ufer Höhe P+R  ;in Fahrtrichtung Stadteinwärts     ;   ;
0105;2;030;030;AE   Bocklemünd/Mengenich     ;Mengenicher Str Höhe Haus 20  ;in Fahrtrichtung Untere Dorfstraße ;   ;
0107;2;030;030;AG   Mauenheim                ;Nibelungenstr. Haus Nr. 38/40 ;in Fahrtrichtung Merheimer Str.    ;   ;
0108;2;030;030;AH   Merheim                  ;Kieskaulerweg ggü. Haus Nr.65 ;in Fahrtrichtung Kratzweg          ;   ;
0109;2;030;030;AI   Sülz                     ;Berrenrather Str. Höhe 179    ;in Fahrtrichtung stadteinwärts     ;   ;
0110;2;030;030;AJ   Sülz                     ;Berrenrather Str. Höhe 194    ;in Fahrtrichtung stadtauswärts     ;   ;
0111;2;030;030;AK   Höhenhaus                ;Thuleweg ggü. Haus-Nr.42      ;in Fahrtrichtung Im Weidenbruch    ;   ;
0112;2;050;050;AL   Zündorf                  ;Wahner Str.64 bis Kirschweg   ;in FR. Schmittgasse                ;   ;
0113;0;050;050;AM   Zündorf                  ;Wahner Str. Laterne 33-Haus 73;in Fahrtrichtung Wahn              ;   ;
0114;0;050;050;AN   Neustadt/Nord            ;Riehler Straße, Haus Nr. 90   ;in Fahrtrichtung Zoobrücke         ;   ;
0115;2;030;030;AO   Bocklemünd/Mengenich     ;Mengenicher Straße Haus Nr. 21;in FR. Grevenbroicher Str.         ;   ;
0116;2;030;030;AP   Müngersdorf              ;Belvederestr. vor Haus Nr. 149;in Fahrtrichtung Wendelinstraße    ;   ;
0117;2;030;030;AQ   Müngersdorf              ;Belvederestr. vor Haus-Nr. 149;in Fahrtrichtung Gregor-Mendel-Ring;   ;
0118;2;030;030;AR   Ehrenfeld                ;Melatengürtel, Laterne 85-77  ;in Fahrtrichtung Weinsbergstraße   ;   ;
0119;0;050;050;AS   Ehrenfeld                ;Melatengürtel, Laterne 24-34  ;in Fahrtrichtung Fröbelstraße      ;   ;
0120;0;050;050;AT   Ehrenfeld                ;Melatengürtel, Laterne 33-27  ;in Fahrtrichtung Oskar-Jäger-Straße;   ;
0121;2;030;030;AU   Rondorf                  ;Reiherstr. vor Haus Nr. 19    ;in Fahrtrichtung Adlerstraße       ;   ;
0122;2;030;030;AV   Rondorf                  ;Reiherstr. ggü. Haus-Nr.19    ;in Fahrtrichtung Hahnenstraße      ;   ;
0123;2;030;030;AW   Bilderstöckchen          ;Escher Str. Haus-Nr. 146-150  ;in Fahrtrichtung Parkgürtel        ;   ;
0124;0;050;050;AX   Holweide                 ;Isenburger Kirchweg 18 a      ;in Fahrtrichtung Ostmerheimer Str. ;   ;
0125;0;050;050;AY   Holweide                 ;Isenburger Kirchweg, Nr. 36-40;in Fahrtrichtung Wichheimer Str.   ;   ;
0126;2;030;030;AZ   Weiden                   ;Breslauer Str., Laterne 6-14  ;in Fahrtrichtung Ostlandstraße     ;   ;
0127;2;030;030;BA   Weiden                   ;Breslauer Str., Laterne 14-6  ;in Fahrtrichtung Aachener Straße   ;   ;
0128;2;030;030;BB   Raderthal                ;Markusstr. vor Haus Nr 89-73  ;in Fahrtrichtung Brühler Straße    ;   ;
