# Deutschland, stündliche Zeitreihen 2024 (Netzlast, PV, Wind on/offshore, Wasserkraft, Biomasse)
# Quelle: github-mirror (Notlösung)
# Endpunkt/Hinweis: NOTLÖSUNG (nicht Teil der offiziellen Quellen-Priorität): öffentlicher GitHub-Mirror https://github.com/hakimdalim/smard-data-extractor (Datei juli24-25_energie_zusammengefasst_mit_aufloesung.csv, Commit 189bcdf697fe12e05127ea15eb6ac7bc67a134b2), enthält reale SMARD-Exportdaten, aber nur Jul-Dez 2024 und nur Wind Onshore/Photovoltaik/Netzlast. Grund: api.energy-charts.info, smard.de und open-power-system-data.org sind aus dieser Sandbox heraus per Egress-Policy blockiert (403 auf CONNECT), siehe research/daten_stundenprofile.md.
# Abrufdatum (UTC): 2026-08-15T11:20:52Z
# Vollständig (alle Pflichtreihen, 8784 Stunden): False
# Einheit: MW (Stundenmittel je Spalte == MWh im jeweiligen Stundenintervall)
# Zeitzone Index: naive lokale Zeit Europe/Berlin (kein UTC, siehe Kommentar in fetch_github_mirror())
# Fehlgeschlagene/übersprungene Quellen:
#   - energy-charts.info: HTTPSConnectionPool(host='api.energy-charts.info', port=443): Max retries exceeded with url: /public_power?country=de&start=2024-01-01&end=2024-01-31 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))
#   - smard.de index (load_mw): HTTPSConnectionPool(host='www.smard.de', port=443): Max retries exceeded with url: /app/chart_data/410/DE/index_hour.json (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))
#   - open-power-system-data.org: HTTPSConnectionPool(host='data.open-power-system-data.org', port=443): Max retries exceeded with url: /time_series/latest/time_series_60min_singleindex.csv (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))
# Fehlende Stundenwerte je Spalte: {'wind_onshore_mw': 0, 'solar_mw': 0, 'load_mw': 0}
# Komplett fehlende Reihen (nicht in dieser Datei): ['wind_offshore_mw', 'hydro_ror_mw', 'biomass_mw']
timestamp_utc,wind_onshore_mw,solar_mw,load_mw
2024-07-01 00:00:00,4502.25,3.0,40471.75
2024-07-01 01:00:00,4408.5,3.0,39402.5
2024-07-01 02:00:00,4278.75,3.0,38458.75
2024-07-01 03:00:00,3976.5,2.75,38234.25
2024-07-01 04:00:00,4126.75,5.75,39489.25
2024-07-01 05:00:00,4650.25,292.75,42308.5
2024-07-01 06:00:00,4594.0,1956.25,49761.25
2024-07-01 07:00:00,4677.75,5532.0,55221.0
2024-07-01 08:00:00,4620.75,10442.0,58835.75
2024-07-01 09:00:00,4813.25,15488.0,59616.75
2024-07-01 10:00:00,5264.25,20190.5,60680.75
2024-07-01 11:00:00,6387.75,23495.0,61022.75
2024-07-01 12:00:00,8097.5,24756.0,60504.5
2024-07-01 13:00:00,9306.5,25295.5,59946.75
2024-07-01 14:00:00,11228.0,24398.0,58689.0
2024-07-01 15:00:00,12953.25,21700.0,58078.25
2024-07-01 16:00:00,13954.5,19034.0,57654.25
2024-07-01 17:00:00,14474.0,15150.75,58276.5
2024-07-01 18:00:00,13503.5,9937.75,57930.75
2024-07-01 19:00:00,11042.75,5029.25,56789.75
2024-07-01 20:00:00,9246.25,1628.5,55159.0
2024-07-01 21:00:00,7969.75,130.75,52174.75
2024-07-01 22:00:00,7802.5,6.0,49747.5
2024-07-01 23:00:00,8551.5,3.5,46784.5
2024-07-02 00:00:00,8773.5,3.0,43656.0
2024-07-02 01:00:00,9117.0,2.5,42457.0
2024-07-02 02:00:00,9169.0,2.0,41877.25
2024-07-02 03:00:00,8864.0,2.5,42179.5
2024-07-02 04:00:00,8614.0,5.25,42846.75
2024-07-02 05:00:00,8784.75,341.0,45209.25
2024-07-02 06:00:00,8382.25,2489.75,51953.25
2024-07-02 07:00:00,7601.0,6477.0,57017.5
2024-07-02 08:00:00,7213.25,11598.0,59642.5
2024-07-02 09:00:00,8120.25,16367.5,61292.75
2024-07-02 10:00:00,9687.75,17876.75,62237.25
2024-07-02 11:00:00,10833.5,17397.75,62711.25
2024-07-02 12:00:00,11692.25,18351.0,63340.75
